Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season
15/08/24,Ath Bilbao,Getafe,1,1,D,1,0,H,2024-2025
15/08/24,Betis,Girona,1,1,D,1,0,H,2024-2025
16/08/24,Celta,Alaves,2,1,H,0,1,A,2024-2025
16/08/24,Las Palmas,Sevilla,2,2,D,1,1,D,2024-2025
17/08/24,Osasuna,Leganes,1,1,D,0,1,A,2024-2025
17/08/24,Valencia,Barcelona,1,2,A,1,1,D,2024-2025
18/08/24,Sociedad,Vallecano,1,2,A,0,0,D,2024-2025
18/08/24,Mallorca,Real Madrid,1,1,D,0,1,A,2024-2025
19/08/24,Valladolid,Espanol,1,0,H,1,0,H,2024-2025
19/08/24,Villarreal,Ath Madrid,2,2,D,2,2,D,2024-2025
23/08/24,Celta,Valencia,3,1,H,2,1,H,2024-2025
23/08/24,Sevilla,Villarreal,1,2,A,1,1,D,2024-2025
24/08/24,Osasuna,Mallorca,1,0,H,0,0,D,2024-2025
24/08/24,Barcelona,Ath Bilbao,2,1,H,1,1,D,2024-2025
24/08/24,Espanol,Sociedad,0,1,A,0,0,D,2024-2025
24/08/24,Getafe,Vallecano,0,0,D,0,0,D,2024-2025
25/08/24,Real Madrid,Valladolid,3,0,H,0,0,D,2024-2025
25/08/24,Leganes,Las Palmas,2,1,H,0,0,D,2024-2025
25/08/24,Alaves,Betis,0,0,D,0,0,D,2024-2025
25/08/24,Ath Madrid,Girona,3,0,H,1,0,H,2024-2025
26/08/24,Villarreal,Celta,4,3,H,1,2,A,2024-2025
27/08/24,Mallorca,Sevilla,0,0,D,0,0,D,2024-2025
27/08/24,Vallecano,Barcelona,1,2,A,1,0,H,2024-2025
28/08/24,Ath Bilbao,Valencia,1,0,H,1,0,H,2024-2025
28/08/24,Valladolid,Leganes,0,0,D,0,0,D,2024-2025
28/08/24,Ath Madrid,Espanol,0,0,D,0,0,D,2024-2025
28/08/24,Sociedad,Alaves,1,2,A,1,1,D,2024-2025
29/08/24,Girona,Osasuna,4,0,H,1,0,H,2024-2025
29/08/24,Las Palmas,Real Madrid,1,1,D,1,0,H,2024-2025
31/08/24,Barcelona,Valladolid,7,0,H,3,0,H,2024-2025
31/08/24,Ath Bilbao,Ath Madrid,0,1,A,0,0,D,2024-2025
31/08/24,Espanol,Vallecano,2,1,H,1,1,D,2024-2025
31/08/24,Leganes,Mallorca,0,1,A,0,1,A,2024-2025
31/08/24,Valencia,Villarreal,1,1,D,1,1,D,2024-2025
01/09/24,Alaves,Las Palmas,2,0,H,1,0,H,2024-2025
01/09/24,Osasuna,Celta,3,2,H,2,1,H,2024-2025
01/09/24,Sevilla,Girona,0,2,A,0,1,A,2024-2025
01/09/24,Getafe,Sociedad,0,0,D,0,0,D,2024-2025
01/09/24,Real Madrid,Betis,2,0,H,0,0,D,2024-2025
13/09/24,Betis,Leganes,2,0,H,0,0,D,2024-2025
14/09/24,Mallorca,Villarreal,1,2,A,0,1,A,2024-2025
14/09/24,Espanol,Alaves,3,2,H,1,1,D,2024-2025
14/09/24,Sevilla,Getafe,1,0,H,1,0,H,2024-2025
14/09/24,Sociedad,Real Madrid,0,2,A,0,0,D,2024-2025
15/09/24,Celta,Valladolid,3,1,H,2,0,H,2024-2025
15/09/24,Girona,Barcelona,1,4,A,0,2,A,2024-2025
15/09/24,Las Palmas,Ath Bilbao,2,3,A,0,2,A,2024-2025
15/09/24,Ath Madrid,Valencia,3,0,H,1,0,H,2024-2025
16/09/24,Vallecano,Osasuna,3,1,H,0,1,A,2024-2025
17/09/24,Mallorca,Sociedad,1,0,H,1,0,H,2024-2025
18/09/24,Betis,Getafe,2,1,H,0,0,D,2024-2025
19/09/24,Leganes,Ath Bilbao,0,2,A,0,0,D,2024-2025
20/09/24,Alaves,Sevilla,2,1,H,1,0,H,2024-2025
21/09/24,Valladolid,Sociedad,0,0,D,0,0,D,2024-2025
21/09/24,Osasuna,Las Palmas,2,1,H,1,1,D,2024-2025
21/09/24,Valencia,Girona,2,0,H,0,0,D,2024-2025
21/09/24,Real Madrid,Espanol,4,1,H,0,0,D,2024-2025
22/09/24,Getafe,Leganes,1,1,D,0,0,D,2024-2025
22/09/24,Ath Bilbao,Celta,3,1,H,2,1,H,2024-2025
22/09/24,Villarreal,Barcelona,1,5,A,1,2,A,2024-2025
22/09/24,Vallecano,Ath Madrid,1,1,D,1,0,H,2024-2025
23/09/24,Betis,Mallorca,1,2,A,1,1,D,2024-2025
24/09/24,Sevilla,Valladolid,2,1,H,1,0,H,2024-2025
24/09/24,Valencia,Osasuna,0,0,D,0,0,D,2024-2025
24/09/24,Real Madrid,Alaves,3,2,H,2,0,H,2024-2025
25/09/24,Girona,Vallecano,0,0,D,0,0,D,2024-2025
25/09/24,Barcelona,Getafe,1,0,H,1,0,H,2024-2025
26/09/24,Espanol,Villarreal,1,2,A,1,1,D,2024-2025
26/09/24,Las Palmas,Betis,1,1,D,1,1,D,2024-2025
26/09/24,Celta,Ath Madrid,0,1,A,0,0,D,2024-2025
27/09/24,Valladolid,Mallorca,1,2,A,0,0,D,2024-2025
28/09/24,Getafe,Alaves,2,0,H,1,0,H,2024-2025
28/09/24,Vallecano,Leganes,1,1,D,1,0,H,2024-2025
28/09/24,Sociedad,Valencia,3,0,H,1,0,H,2024-2025
28/09/24,Osasuna,Barcelona,4,2,H,2,0,H,2024-2025
29/09/24,Celta,Girona,1,1,D,0,1,A,2024-2025
29/09/24,Ath Bilbao,Sevilla,1,1,D,1,0,H,2024-2025
29/09/24,Betis,Espanol,1,0,H,0,0,D,2024-2025
29/09/24,Ath Madrid,Real Madrid,1,1,D,0,0,D,2024-2025
