Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season
13/08/21,Valencia,Getafe,1,0,H,1,0,H,2021-2022
14/08/21,Cadiz,Levante,1,1,D,0,1,A,2021-2022
14/08/21,Mallorca,Betis,1,1,D,1,0,H,2021-2022
14/08/21,Alaves,Real Madrid,1,4,A,0,0,D,2021-2022
14/08/21,Osasuna,Espanol,0,0,D,0,0,D,2021-2022
15/08/21,Celta,Ath Madrid,1,2,A,0,1,A,2021-2022
15/08/21,Barcelona,Sociedad,4,2,H,2,0,H,2021-2022
15/08/21,Sevilla,Vallecano,3,0,H,1,0,H,2021-2022
16/08/21,Villarreal,Granada,0,0,D,0,0,D,2021-2022
16/08/21,Elche,Ath Bilbao,0,0,D,0,0,D,2021-2022
20/08/21,Betis,Cadiz,1,1,D,1,1,D,2021-2022
21/08/21,Alaves,Mallorca,0,1,A,0,0,D,2021-2022
21/08/21,Espanol,Villarreal,0,0,D,0,0,D,2021-2022
21/08/21,Granada,Valencia,1,1,D,1,0,H,2021-2022
21/08/21,Ath Bilbao,Barcelona,1,1,D,0,0,D,2021-2022
22/08/21,Sociedad,Vallecano,1,0,H,0,0,D,2021-2022
22/08/21,Ath Madrid,Elche,1,0,H,1,0,H,2021-2022
22/08/21,Levante,Real Madrid,3,3,D,0,1,A,2021-2022
23/08/21,Getafe,Sevilla,0,1,A,0,0,D,2021-2022
23/08/21,Osasuna,Celta,0,0,D,0,0,D,2021-2022
27/08/21,Mallorca,Espanol,1,0,H,1,0,H,2021-2022
27/08/21,Valencia,Alaves,3,0,H,2,0,H,2021-2022
28/08/21,Celta,Ath Bilbao,0,1,A,0,1,A,2021-2022
28/08/21,Elche,Sevilla,1,1,D,1,1,D,2021-2022
28/08/21,Sociedad,Levante,1,0,H,1,0,H,2021-2022
28/08/21,Betis,Real Madrid,0,1,A,0,0,D,2021-2022
29/08/21,Barcelona,Getafe,2,1,H,2,1,H,2021-2022
29/08/21,Cadiz,Osasuna,2,3,A,1,0,H,2021-2022
29/08/21,Vallecano,Granada,4,0,H,3,0,H,2021-2022
29/08/21,Ath Madrid,Villarreal,2,2,D,0,0,D,2021-2022
11/09/21,Levante,Vallecano,1,1,D,1,0,H,2021-2022
11/09/21,Ath Bilbao,Mallorca,2,0,H,0,0,D,2021-2022
12/09/21,Espanol,Ath Madrid,1,2,A,1,0,H,2021-2022
12/09/21,Osasuna,Valencia,1,4,A,1,1,D,2021-2022
12/09/21,Cadiz,Sociedad,0,2,A,0,0,D,2021-2022
12/09/21,Real Madrid,Celta,5,2,H,1,2,A,2021-2022
13/09/21,Getafe,Elche,0,1,A,0,0,D,2021-2022
13/09/21,Granada,Betis,1,2,A,0,1,A,2021-2022
17/09/21,Celta,Cadiz,1,2,A,0,2,A,2021-2022
18/09/21,Vallecano,Getafe,3,0,H,1,0,H,2021-2022
18/09/21,Ath Madrid,Ath Bilbao,0,0,D,0,0,D,2021-2022
18/09/21,Elche,Levante,1,1,D,1,0,H,2021-2022
18/09/21,Alaves,Osasuna,0,2,A,0,2,A,2021-2022
19/09/21,Mallorca,Villarreal,0,0,D,0,0,D,2021-2022
19/09/21,Sociedad,Sevilla,0,0,D,0,0,D,2021-2022
19/09/21,Betis,Espanol,2,2,D,2,1,H,2021-2022
19/09/21,Valencia,Real Madrid,1,2,A,0,0,D,2021-2022
20/09/21,Barcelona,Granada,1,1,D,0,1,A,2021-2022
21/09/21,Getafe,Ath Madrid,1,2,A,1,0,H,2021-2022
21/09/21,Ath Bilbao,Vallecano,1,2,A,1,1,D,2021-2022
21/09/21,Levante,Celta,0,2,A,0,0,D,2021-2022
