Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season
12/08/22,Osasuna,Sevilla,2,1,H,1,1,D,2022-2023
13/08/22,Celta,Espanol,2,2,D,1,0,H,2022-2023
13/08/22,Valladolid,Villarreal,0,3,A,0,0,D,2022-2023
13/08/22,Barcelona,Vallecano,0,0,D,0,0,D,2022-2023
14/08/22,Cadiz,Sociedad,0,1,A,0,1,A,2022-2023
14/08/22,Valencia,Girona,1,0,H,1,0,H,2022-2023
14/08/22,Almeria,Real Madrid,1,2,A,1,0,H,2022-2023
15/08/22,Ath Bilbao,Mallorca,0,0,D,0,0,D,2022-2023
15/08/22,Getafe,Ath Madrid,0,3,A,0,1,A,2022-2023
15/08/22,Betis,Elche,3,0,H,2,0,H,2022-2023
19/08/22,Espanol,Vallecano,0,2,A,0,1,A,2022-2023
19/08/22,Sevilla,Valladolid,1,1,D,0,0,D,2022-2023
20/08/22,Osasuna,Cadiz,2,0,H,1,0,H,2022-2023
20/08/22,Mallorca,Betis,1,2,A,0,1,A,2022-2023
20/08/22,Celta,Real Madrid,1,4,A,1,2,A,2022-2023
21/08/22,Ath Bilbao,Valencia,1,0,H,1,0,H,2022-2023
21/08/22,Ath Madrid,Villarreal,0,2,A,0,0,D,2022-2023
21/08/22,Sociedad,Barcelona,1,4,A,1,1,D,2022-2023
22/08/22,Elche,Almeria,1,1,D,1,1,D,2022-2023
22/08/22,Girona,Getafe,3,1,H,1,0,H,2022-2023
26/08/22,Girona,Celta,0,1,A,0,0,D,2022-2023
26/08/22,Betis,Osasuna,1,0,H,1,0,H,2022-2023
27/08/22,Elche,Sociedad,0,1,A,0,1,A,2022-2023
27/08/22,Vallecano,Mallorca,0,2,A,0,1,A,2022-2023
27/08/22,Almeria,Sevilla,2,1,H,1,1,D,2022-2023
28/08/22,Getafe,Villarreal,0,0,D,0,0,D,2022-2023
28/08/22,Barcelona,Valladolid,4,0,H,2,0,H,2022-2023
28/08/22,Espanol,Real Madrid,1,3,A,1,1,D,2022-2023
