Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season
16/08/19,Ath Bilbao,Barcelona,1,0,H,0,0,D,2019-2020
17/08/19,Celta,Real Madrid,1,3,A,0,1,A,2019-2020
17/08/19,Valencia,Sociedad,1,1,D,0,0,D,2019-2020
17/08/19,Mallorca,Eibar,2,1,H,1,0,H,2019-2020
17/08/19,Leganes,Osasuna,0,1,A,0,0,D,2019-2020
17/08/19,Villarreal,Granada,4,4,D,1,1,D,2019-2020
18/08/19,Alaves,Levante,1,0,H,0,0,D,2019-2020
18/08/19,Espanol,Sevilla,0,2,A,0,1,A,2019-2020
18/08/19,Betis,Valladolid,1,2,A,0,0,D,2019-2020
18/08/19,Ath Madrid,Getafe,1,0,H,1,0,H,2019-2020
23/08/19,Granada,Sevilla,0,1,A,0,0,D,2019-2020
23/08/19,Levante,Villarreal,2,1,H,0,1,A,2019-2020
24/08/19,Osasuna,Eibar,0,0,D,0,0,D,2019-2020
24/08/19,Real Madrid,Valladolid,1,1,D,0,0,D,2019-2020
24/08/19,Celta,Valencia,1,0,H,1,0,H,2019-2020
24/08/19,Getafe,Ath Bilbao,1,1,D,1,1,D,2019-2020
25/08/19,Alaves,Espanol,0,0,D,0,0,D,2019-2020
25/08/19,Mallorca,Sociedad,0,1,A,0,0,D,2019-2020
25/08/19,Leganes,Ath Madrid,0,1,A,0,0,D,2019-2020
25/08/19,Barcelona,Betis,5,2,H,1,1,D,2019-2020
30/08/19,Sevilla,Celta,1,1,D,0,0,D,2019-2020
30/08/19,Ath Bilbao,Sociedad,2,0,H,2,0,H,2019-2020
31/08/19,Osasuna,Barcelona,2,2,D,1,0,H,2019-2020
31/08/19,Getafe,Alaves,1,1,D,1,1,D,2019-2020
31/08/19,Levante,Valladolid,2,0,H,0,0,D,2019-2020
31/08/19,Betis,Leganes,2,1,H,0,0,D,2019-2020
01/09/19,Valencia,Mallorca,2,0,H,1,0,H,2019-2020
