Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season
12/09/20,Eibar,Celta,0,0,D,0,0,D,2020-2021
12/09/20,Granada,Ath Bilbao,2,0,H,0,0,D,2020-2021
12/09/20,Cadiz,Osasuna,0,2,A,0,1,A,2020-2021
13/09/20,Alaves,Betis,0,1,A,0,0,D,2020-2021
13/09/20,Valladolid,Sociedad,1,1,D,1,0,H,2020-2021
13/09/20,Villarreal,Huesca,1,1,D,0,1,A,2020-2021
13/09/20,Valencia,Levante,4,2,H,2,2,D,2020-2021
19/09/20,Villarreal,Eibar,2,1,H,0,0,D,2020-2021
19/09/20,Getafe,Osasuna,1,0,H,0,0,D,2020-2021
19/09/20,Celta,Valencia,2,1,H,1,0,H,2020-2021
20/09/20,Huesca,Cadiz,0,2,A,0,1,A,2020-2021
20/09/20,Betis,Valladolid,2,0,H,2,0,H,2020-2021
20/09/20,Granada,Alaves,2,1,H,1,1,D,2020-2021
20/09/20,Sociedad,Real Madrid,0,0,D,0,0,D,2020-2021
26/09/20,Alaves,Getafe,0,0,D,0,0,D,2020-2021
26/09/20,Valencia,Huesca,1,1,D,1,0,H,2020-2021
26/09/20,Elche,Sociedad,0,3,A,0,0,D,2020-2021
26/09/20,Betis,Real Madrid,2,3,A,2,1,H,2020-2021
27/09/20,Osasuna,Levante,1,3,A,1,1,D,2020-2021
27/09/20,Eibar,Ath Bilbao,1,2,A,0,1,A,2020-2021
27/09/20,Ath Madrid,Granada,6,1,H,1,0,H,2020-2021
27/09/20,Cadiz,Sevilla,1,3,A,0,0,D,2020-2021
27/09/20,Valladolid,Celta,1,1,D,0,1,A,2020-2021
27/09/20,Barcelona,Villarreal,4,0,H,4,0,H,2020-2021
29/09/20,Sociedad,Valencia,0,1,A,0,0,D,2020-2021
29/09/20,Getafe,Betis,3,0,H,3,0,H,2020-2021
30/09/20,Huesca,Ath Madrid,0,0,D,0,0,D,2020-2021
30/09/20,Villarreal,Alaves,3,1,H,2,1,H,2020-2021
30/09/20,Eibar,Elche,0,1,A,0,1,A,2020-2021
30/09/20,Real Madrid,Valladolid,1,0,H,0,0,D,2020-2021
01/10/20,Ath Bilbao,Cadiz,0,1,A,0,0,D,2020-2021
01/10/20,Sevilla,Levante,1,0,H,0,0,D,2020-2021
01/10/20,Celta,Barcelona,0,3,A,0,1,A,2020-2021
03/10/20,Valladolid,Eibar,1,2,A,1,1,D,2020-2021
03/10/20,Ath Madrid,Villarreal,0,0,D,0,0,D,2020-2021
03/10/20,Elche,Huesca,0,0,D,0,0,D,2020-2021
03/10/20,Sociedad,Getafe,3,0,H,1,0,H,2020-2021
03/10/20,Valencia,Betis,0,2,A,0,1,A,2020-2021
04/10/20,Osasuna,Celta,2,0,H,1,0,H,2020-2021
04/10/20,Alaves,Ath Bilbao,1,0,H,0,0,D,2020-2021
04/10/20,Levante,Real Madrid,0,2,A,0,1,A,2020-2021
04/10/20,Cadiz,Granada,1,1,D,0,1,A,2020-2021
04/10/20,Barcelona,Sevilla,1,1,D,1,1,D,2020-2021
17/10/20,Granada,Sevilla,1,0,H,0,0,D,2020-2021
17/10/20,Celta,Ath Madrid,0,2,A,0,1,A,2020-2021
17/10/20,Real Madrid,Cadiz,0,1,A,0,1,A,2020-2021
17/10/20,Getafe,Barcelona,1,0,H,0,0,D,2020-2021
18/10/20,Eibar,Osasuna,0,0,D,0,0,D,2020-2021
18/10/20,Ath Bilbao,Levante,2,0,H,0,0,D,2020-2021
18/10/20,Villarreal,Valencia,2,1,H,1,1,D,2020-2021
18/10/20,Alaves,Elche,0,2,A,0,1,A,2020-2021
18/10/20,Huesca,Valladolid,2,2,D,0,1,A,2020-2021
18/10/20,Betis,Sociedad,0,3,A,0,1,A,2020-2021
23/10/20,Elche,Valencia,2,1,H,2,0,H,2020-2021
24/10/20,Barcelona,Real Madrid,1,3,A,1,1,D,2020-2021
24/10/20,Osasuna,Ath Bilbao,1,0,H,0,0,D,2020-2021
24/10/20,Sevilla,Eibar,0,1,A,0,1,A,2020-2021
24/10/20,Ath Madrid,Betis,2,0,H,0,0,D,2020-2021
25/10/20,Valladolid,Alaves,0,2,A,0,0,D,2020-2021
25/10/20,Cadiz,Villarreal,0,0,D,0,0,D,2020-2021
25/10/20,Getafe,Granada,0,1,A,0,1,A,2020-2021
25/10/20,Sociedad,Huesca,4,1,H,1,0,H,2020-2021
26/10/20,Levante,Celta,1,1,D,0,0,D,2020-2021
30/10/20,Eibar,Cadiz,0,2,A,0,2,A,2020-2021
31/10/20,Real Madrid,Huesca,4,1,H,2,0,H,2020-2021
31/10/20,Ath Bilbao,Sevilla,2,1,H,0,1,A,2020-2021
31/10/20,Osasuna,Ath Madrid,1,3,A,0,1,A,2020-2021
31/10/20,Alaves,Barcelona,1,1,D,1,0,H,2020-2021
01/11/20,Betis,Elche,3,1,H,2,0,H,2020-2021
01/11/20,Celta,Sociedad,1,4,A,0,2,A,2020-2021
01/11/20,Granada,Levante,1,1,D,1,1,D,2020-2021
01/11/20,Valencia,Getafe,2,2,D,1,0,H,2020-2021
02/11/20,Villarreal,Valladolid,2,0,H,2,0,H,2020-2021
06/11/20,Elche,Celta,1,1,D,1,1,D,2020-2021
07/11/20,Huesca,Eibar,1,1,D,0,1,A,2020-2021
07/11/20,Barcelona,Betis,5,2,H,1,1,D,2020-2021
07/11/20,Sevilla,Osasuna,1,0,H,0,0,D,2020-2021
07/11/20,Ath Madrid,Cadiz,4,0,H,2,0,H,2020-2021
08/11/20,Getafe,Villarreal,1,3,A,1,2,A,2020-2021
08/11/20,Sociedad,Granada,2,0,H,2,0,H,2020-2021
08/11/20,Levante,Alaves,1,1,D,0,1,A,2020-2021
08/11/20,Valladolid,Ath Bilbao,2,1,H,1,0,H,2020-2021
08/11/20,Valencia,Real Madrid,4,1,H,2,1,H,2020-2021
20/11/20,Osasuna,Huesca,1,1,D,0,1,A,2020-2021
21/11/20,Levante,Elche,1,1,D,1,0,H,2020-2021
21/11/20,Villarreal,Real Madrid,1,1,D,0,1,A,2020-2021
21/11/20,Sevilla,Celta,4,2,H,2,2,D,2020-2021
21/11/20,Ath Madrid,Barcelona,1,0,H,1,0,H,2020-2021
22/11/20,Eibar,Getafe,0,0,D,0,0,D,2020-2021
22/11/20,Cadiz,Sociedad,0,1,A,0,0,D,2020-2021
22/11/20,Granada,Valladolid,1,3,A,0,1,A,2020-2021
22/11/20,Alaves,Valencia,2,2,D,2,0,H,2020-2021
23/11/20,Ath Bilbao,Betis,4,0,H,2,0,H,2020-2021
27/11/20,Valladolid,Levante,1,1,D,0,0,D,2020-2021
28/11/20,Elche,Cadiz,1,1,D,1,0,H,2020-2021
28/11/20,Valencia,Ath Madrid,0,1,A,0,0,D,2020-2021
28/11/20,Huesca,Sevilla,0,1,A,0,0,D,2020-2021
28/11/20,Real Madrid,Alaves,1,2,A,0,1,A,2020-2021
29/11/20,Barcelona,Osasuna,4,0,H,2,0,H,2020-2021
29/11/20,Getafe,Ath Bilbao,1,1,D,0,1,A,2020-2021
29/11/20,Celta,Granada,3,1,H,1,1,D,2020-2021
29/11/20,Sociedad,Villarreal,1,1,D,1,1,D,2020-2021
30/11/20,Betis,Eibar,0,2,A,0,0,D,2020-2021
04/12/20,Ath Bilbao,Celta,0,2,A,0,0,D,2020-2021
05/12/20,Levante,Getafe,3,0,H,2,0,H,2020-2021
05/12/20,Sevilla,Real Madrid,0,1,A,0,0,D,2020-2021
05/12/20,Ath Madrid,Valladolid,2,0,H,0,0,D,2020-2021
05/12/20,Cadiz,Barcelona,2,1,H,1,0,H,2020-2021
06/12/20,Granada,Huesca,3,3,D,1,1,D,2020-2021
06/12/20,Osasuna,Betis,0,2,A,0,0,D,2020-2021
06/12/20,Villarreal,Elche,0,0,D,0,0,D,2020-2021
06/12/20,Alaves,Sociedad,0,0,D,0,0,D,2020-2021
07/12/20,Eibar,Valencia,0,0,D,0,0,D,2020-2021
11/12/20,Valladolid,Osasuna,3,2,H,1,2,A,2020-2021
12/12/20,Valencia,Ath Bilbao,2,2,D,1,0,H,2020-2021
12/12/20,Getafe,Sevilla,0,1,A,0,0,D,2020-2021
12/12/20,Huesca,Alaves,1,0,H,0,0,D,2020-2021
12/12/20,Real Madrid,Ath Madrid,2,0,H,1,0,H,2020-2021
13/12/20,Sociedad,Eibar,1,1,D,1,0,H,2020-2021
13/12/20,Betis,Villarreal,1,1,D,0,1,A,2020-2021
13/12/20,Elche,Granada,0,1,A,0,1,A,2020-2021
13/12/20,Barcelona,Levante,1,0,H,0,0,D,2020-2021
14/12/20,Celta,Cadiz,4,0,H,4,0,H,2020-2021
15/12/20,Real Madrid,Ath Bilbao,3,1,H,1,0,H,2020-2021
16/12/20,Barcelona,Sociedad,2,1,H,2,1,H,2020-2021
18/12/20,Ath Bilbao,Huesca,2,0,H,0,0,D,2020-2021
19/12/20,Ath Madrid,Elche,3,1,H,1,0,H,2020-2021
19/12/20,Barcelona,Valencia,2,2,D,1,1,D,2020-2021
19/12/20,Levante,Sociedad,2,1,H,1,1,D,2020-2021
19/12/20,Osasuna,Villarreal,1,3,A,0,2,A,2020-2021
19/12/20,Sevilla,Valladolid,1,1,D,1,0,H,2020-2021
20/12/20,Celta,Alaves,2,0,H,1,0,H,2020-2021
20/12/20,Granada,Betis,2,0,H,2,0,H,2020-2021
20/12/20,Cadiz,Getafe,0,2,A,0,1,A,2020-2021
20/12/20,Eibar,Real Madrid,1,3,A,1,2,A,2020-2021
22/12/20,Elche,Osasuna,2,2,D,0,1,A,2020-2021
22/12/20,Valencia,Sevilla,0,1,A,0,0,D,2020-2021
22/12/20,Huesca,Levante,1,1,D,1,0,H,2020-2021
22/12/20,Sociedad,Ath Madrid,0,2,A,0,0,D,2020-2021
22/12/20,Valladolid,Barcelona,0,3,A,0,2,A,2020-2021
