Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season
11/08/23,Almeria,Vallecano,0,2,A,0,2,A,2023-2024
11/08/23,Sevilla,Valencia,1,2,A,0,0,D,2023-2024
12/08/23,Sociedad,Girona,1,1,D,1,0,H,2023-2024
12/08/23,Las Palmas,Mallorca,1,1,D,1,0,H,2023-2024
12/08/23,Ath Bilbao,Real Madrid,0,2,A,0,2,A,2023-2024
13/08/23,Celta,Osasuna,0,2,A,0,1,A,2023-2024
13/08/23,Villarreal,Betis,1,2,A,0,1,A,2023-2024
13/08/23,Getafe,Barcelona,0,0,D,0,0,D,2023-2024
14/08/23,Cadiz,Alaves,1,0,H,1,0,H,2023-2024
14/08/23,Ath Madrid,Granada,3,1,H,1,0,H,2023-2024
18/08/23,Mallorca,Villarreal,0,1,A,0,0,D,2023-2024
18/08/23,Valencia,Las Palmas,1,0,H,0,0,D,2023-2024
19/08/23,Sociedad,Celta,1,1,D,1,0,H,2023-2024
19/08/23,Almeria,Real Madrid,1,3,A,1,1,D,2023-2024
19/08/23,Osasuna,Ath Bilbao,0,2,A,0,2,A,2023-2024
20/08/23,Girona,Getafe,3,0,H,1,0,H,2023-2024
20/08/23,Barcelona,Cadiz,2,0,H,0,0,D,2023-2024
20/08/23,Betis,Ath Madrid,0,0,D,0,0,D,2023-2024
21/08/23,Alaves,Sevilla,4,3,H,2,2,D,2023-2024
21/08/23,Granada,Vallecano,0,2,A,0,0,D,2023-2024
25/08/23,Las Palmas,Sociedad,0,0,D,0,0,D,2023-2024
25/08/23,Celta,Real Madrid,0,1,A,0,0,D,2023-2024
26/08/23,Cadiz,Almeria,1,1,D,0,0,D,2023-2024
26/08/23,Granada,Mallorca,3,2,H,1,1,D,2023-2024
26/08/23,Sevilla,Girona,1,2,A,1,1,D,2023-2024
27/08/23,Villarreal,Barcelona,3,4,A,2,2,D,2023-2024
27/08/23,Valencia,Osasuna,1,2,A,0,1,A,2023-2024
27/08/23,Ath Bilbao,Betis,4,2,H,3,2,H,2023-2024
28/08/23,Getafe,Alaves,1,0,H,0,0,D,2023-2024
28/08/23,Vallecano,Ath Madrid,0,7,A,0,3,A,2023-2024
